DATE,TMAX_LAND,TMAX_OCEAN,DIFF
2024-01-01,50,48,-2
2024-01-02,47,48,1
2024-01-03,48,49,1
2024-01-04,48,47,-1
2024-01-05,42,43,1
2024-01-06,58,51,-7
2024-01-07,57,55,-2
2024-01-08,48,50,2
2024-01-09,66,63,-3
2024-01-10,60,57,-3
2024-01-11,57,57,0
2024-01-12,64,57,-7
2024-01-13,68,62,-6
2024-01-14,58,57,-1
2024-01-15,47,38,-9
2024-01-16,46,32,-14
2024-01-17,36,33,-3
2024-01-18,50,47,-3
2024-01-19,47,43,-4
2024-01-20,34,33,-1
2024-01-21,35,38,3
2024-01-22,47,47,0
2024-01-23,53,53,0
2024-01-24,72,71,-1
2024-01-25,73,71,-2
2024-01-26,77,78,1
2024-01-27,66,65,-1
2024-01-28,60,48,-12
2024-01-29,50,54,4
2024-01-30,45,48,3
2024-01-31,48,47,-1
2024-02-01,53,57,4
2024-02-02,55,58,3
2024-02-03,46,51,5
2024-02-04,47,55,8
2024-02-05,49,56,7
2024-02-06,46,47,1
2024-02-07,46,53,7
2024-02-08,50,57,7
2024-02-09,57,61,4
2024-02-10,75,64,-11
2024-02-11,59,59,0
2024-02-12,50,51,1
2024-02-13,58,55,-3
2024-02-14,48,54,6
2024-02-15,54,56,2
2024-02-16,55,54,-1
2024-02-17,51,48,-3
2024-02-18,48,49,1
2024-02-19,48,54,6
2024-02-20,48,53,5
2024-02-21,46,53,7
2024-02-22,62,63,1
2024-02-23,57,55,-2
2024-02-24,53,57,4
2024-02-25,43,50,7
2024-02-26,69,68,-1
2024-02-27,71,67,-4
2024-02-28,74,68,-6
2024-02-29,53,52,-1
2024-03-01,54,55,1
2024-03-02,68,57,-11
2024-03-03,63,69,6
2024-03-04,54,69,15
2024-03-05,62,64,2
2024-03-06,62,58,-4
2024-03-07,61,69,8
2024-03-08,53,60,7
2024-03-09,68,62,-6
2024-03-10,60,57,-3
2024-03-11,59,63,4
2024-03-12,73,74,1
2024-03-13,72,77,5
2024-03-14,81,82,1
2024-03-15,81,80,-1
2024-03-16,63,69,6
2024-03-17,73,74,1
2024-03-18,66,60,-6
2024-03-19,55,56,1
2024-03-20,71,72,1
2024-03-21,51,57,6
2024-03-22,61,61,0
2024-03-23,66,65,-1
2024-03-24,48,53,5
2024-03-25,51,61,10
2024-03-26,48,66,18
2024-03-27,50,50,0
2024-03-28,50,52,2
2024-03-29,67,70,3
2024-03-30,77,78,1
2024-03-31,73,73,0
2024-04-01,80,70,-10
2024-04-02,69,71,2
2024-04-03,75,69,-6
2024-04-04,61,59,-2
2024-04-05,63,61,-2
2024-04-06,58,60,2
2024-04-07,60,67,7
2024-04-08,73,74,1
2024-04-09,77,78,1
2024-04-10,77,77,0
2024-04-11,75,74,-1
2024-04-12,73,71,-2
2024-04-13,72,72,0
2024-04-14,79,82,3
2024-04-15,90,90,0
2024-04-16,68,76,8
2024-04-17,84,78,-6
2024-04-18,75,86,11
2024-04-19,61,62,1
2024-04-20,68,74,6
2024-04-21,60,57,-3
2024-04-22,57,63,6
2024-04-23,67,73,6
2024-04-24,68,77,9
2024-04-25,60,64,4
2024-04-26,58,67,9
2024-04-27,66,65,-1
2024-04-28,84,86,2
2024-04-29,87,89,2
2024-04-30,87,85,-2
2024-05-01,79,85,6
2024-05-02,84,91,7
2024-05-03,77,87,10
2024-05-04,65,60,-5
2024-05-05,82,75,-7
2024-05-06,84,82,-2
2024-05-07,82,82,0
2024-05-08,92,91,-1
2024-05-09,85,82,-3
2024-05-10,75,77,2
2024-05-11,63,69,6
2024-05-12,71,74,3
2024-05-13,75,78,3
2024-05-14,76,72,-4
2024-05-15,72,71,-1
2024-05-16,78,82,4
2024-05-17,68,73,5
2024-05-18,61,64,3
2024-05-19,65,73,8
2024-05-20,66,80,14
2024-05-21,76,83,7
2024-05-22,88,89,1
2024-05-23,89,87,-2
2024-05-24,80,84,4
2024-05-25,81,87,6
2024-05-26,87,90,3
2024-05-27,85,87,2
2024-05-28,83,86,3
2024-05-29,82,82,0
2024-05-30,76,78,2
2024-05-31,74,77,3
2024-06-01,80,82,2
2024-06-02,85,84,-1
2024-06-03,86,87,1
2024-06-04,84,89,5
2024-06-05,87,85,-2
2024-06-06,91,86,-5
2024-06-07,88,88,0
2024-06-08,86,87,1
2024-06-09,91,90,-1
2024-06-10,83,87,4
2024-06-11,79,81,2
2024-06-12,81,83,2
2024-06-13,86,91,5
2024-06-14,90,92,2
2024-06-15,82,89,7
2024-06-16,85,88,3
2024-06-17,88,91,3
2024-06-18,88,91,3
2024-06-19,86,90,4
2024-06-20,87,90,3
2024-06-21,90,95,5
2024-06-22,97,99,2
2024-06-23,99,99,0
2024-06-24,90,96,6
2024-06-25,91,94,3
2024-06-26,99,101,2
2024-06-27,84,90,6
2024-06-28,83,89,6
2024-06-29,92,96,4
2024-06-30,97,101,4
2024-07-01,78,81,3
2024-07-02,81,86,5
2024-07-03,84,87,3
2024-07-04,93,95,2
2024-07-05,97,99,2
2024-07-06,95,99,4
2024-07-07,91,94,3
2024-07-08,91,93,2
2024-07-09,93,95,2
2024-07-10,91,94,3
2024-07-11,82,88,6
2024-07-12,88,80,-8
2024-07-13,87,91,4
2024-07-14,95,97,2
2024-07-15,98,97,-1
2024-07-16,96,97,1
2024-07-17,95,94,-1
2024-07-18,86,84,-2
2024-07-19,82,88,6
2024-07-20,89,83,-6
2024-07-21,86,88,2
2024-07-22,87,85,-2
2024-07-23,90,91,1
2024-07-24,89,88,-1
2024-07-25,79,84,5
2024-07-26,80,84,4
2024-07-27,82,87,5
2024-07-28,85,89,4
2024-07-29,89,88,-1
2024-07-30,90,89,-1
2024-07-31,93,90,-3
2024-08-01,95,96,1
2024-08-02,98,96,-2
2024-08-03,95,91,-4
2024-08-04,90,89,-1
2024-08-05,89,90,1
2024-08-06,89,88,-1
2024-08-07,80,87,7
2024-08-08,84,81,-3
2024-08-09,86,86,0
2024-08-10,87,91,4
2024-08-11,82,87,5
2024-08-12,84,85,1
2024-08-13,86,85,-1
2024-08-14,85,87,2
2024-08-15,87,89,2
2024-08-16,87,89,2
2024-08-17,88,90,2
2024-08-18,91,90,-1
2024-08-19,87,87,0
2024-08-20,76,78,2
2024-08-21,75,77,2
2024-08-22,79,82,3
2024-08-23,78,83,5
2024-08-24,79,84,5
2024-08-25,80,86,6
2024-08-26,89,93,4
2024-08-27,89,92,3
2024-08-28,96,98,2
2024-08-29,95,95,0
2024-08-30,85,88,3
2024-08-31,84,87,3
2024-09-01,93,87,-6
2024-09-02,80,82,2
2024-09-03,77,78,1
2024-09-04,79,79,0
2024-09-05,78,82,4
2024-09-06,80,84,4
2024-09-07,79,82,3
2024-09-08,73,76,3
2024-09-09,76,79,3
2024-09-10,83,85,2
2024-09-11,81,85,4
2024-09-12,78,83,5
2024-09-13,79,83,4
2024-09-14,77,83,6
2024-09-15,78,84,6
2024-09-16,76,77,1
2024-09-17,76,75,-1
2024-09-18,76,76,0
2024-09-19,78,83,5
2024-09-20,79,86,7
2024-09-21,79,85,6
2024-09-22,74,77,3
2024-09-23,75,77,2
2024-09-24,71,70,-1
2024-09-25,81,80,-1
2024-09-26,82,82,0
2024-09-27,81,79,-2
2024-09-28,88,87,-1
2024-09-29,82,86,4
2024-09-30,78,79,1
2024-10-01,74,72,-2
2024-10-02,75,77,2
2024-10-03,76,78,2
2024-10-04,79,80,1
2024-10-05,78,83,5
2024-10-06,76,79,3
2024-10-07,80,83,3
2024-10-08,72,73,1
2024-10-09,75,77,2
2024-10-10,68,68,0
2024-10-11,69,72,3
2024-10-12,80,82,2
2024-10-13,81,81,0
2024-10-14,78,75,-3
2024-10-15,65,64,-1
2024-10-16,61,61,0
2024-10-17,60,63,3
2024-10-18,66,71,5
2024-10-19,68,74,6
2024-10-20,68,77,9
2024-10-21,77,81,4
2024-10-22,74,81,7
2024-10-23,77,81,4
2024-10-24,73,74,1
2024-10-25,73,72,-1
2024-10-26,71,77,6
2024-10-27,65,66,1
2024-10-28,64,68,4
2024-10-29,67,72,5
2024-10-30,81,83,2
2024-10-31,82,83,1
2024-11-01,82,80,-2
2024-11-02,70,68,-2
2024-11-03,64,66,2
2024-11-04,68,68,0
2024-11-05,82,80,-2
2024-11-06,83,82,-1
2024-11-07,80,85,5
2024-11-08,72,79,7
2024-11-09,66,64,-2
2024-11-10,72,64,-8
2024-11-11,77,77,0
2024-11-12,66,65,-1
2024-11-13,56,55,-1
2024-11-14,60,52,-8
2024-11-15,59,57,-2
2024-11-16,63,67,4
2024-11-17,63,62,-1
2024-11-18,69,73,4
2024-11-19,73,70,-3
2024-11-20,67,64,-3
2024-11-21,57,56,-1
2024-11-22,49,48,-1
2024-11-23,61,64,3
2024-11-24,65,66,1
2024-11-25,69,66,-3
2024-11-26,66,72,6
2024-11-27,58,58,0
2024-11-28,66,66,0
2024-11-29,55,53,-2
2024-11-30,45,45,0
2024-12-01,51,51,0
2024-12-02,44,42,-2
2024-12-03,44,45,1
2024-12-04,48,45,-3
2024-12-05,55,50,-5
2024-12-06,41,41,0
2024-12-07,46,48,2
2024-12-08,66,71,5
2024-12-09,60,61,1
2024-12-10,68,64,-4
2024-12-11,72,66,-6
2024-12-12,49,50,1
2024-12-13,50,53,3
2024-12-14,50,44,-6
2024-12-15,54,47,-7
2024-12-16,54,52,-2
2024-12-17,71,71,0
2024-12-18,73,62,-11
2024-12-19,63,57,-6
2024-12-20,48,50,2
2024-12-21,45,44,-1
2024-12-22,36,36,0
2024-12-23,39,39,0
2024-12-24,53,50,-3
2024-12-25,48,47,-1
2024-12-26,46,46,0
2024-12-27,51,48,-3
2024-12-28,74,53,-21
2024-12-29,73,70,-3
2024-12-30,64,62,-2
2024-12-31,68,65,-3
